ЛТИ-120,"ЛТИ-120                        Флюс ЛТИ-120, 22мл с кисточкой",95 р.
Ф-38Н,"Ф-38Н                        Флюс Ф-38Н, 22 мл, с кистью",80 р.
,"Олеиновая кислота, 100 мл флакон с кистью",170 р.
,Канифоль сосновая 100г,170 р.
ТТ,"ТТ                        Флюс паяльный TT, Keller, 20 мл",170 р.
ОКСИДАЛ,"ОКСИДАЛ                        Средство для очистки медных жал, банка 20 гр",70 р.
,Ортофосфорная кислота техническая 75% флакон ПЭТ-100 мл,170 р.
ЛТИ-120,"ЛТИ-120                        Флюс ЛТИ-120, 100 мл",150 р.
RMA-223,RMA-223                        Флюс Amtech RMA-223 10мл,390 р.
ФКСп,"ФКСп                        Флюс ФКСп, ПЭТ-22 мл, с кистью",90 р.
